FULL_STUDENT_NAME,Exam_ID,St_ID,Final_RESULT
Ibrahim Elsayed,828,1,45
Omar Mahmoud,323,2,36.36
Omar Mahmoud,403,2,41.67
Omar Mahmoud,796,2,27.78
Walid Mansour,89,3,50
Walid Mansour,90,3,44.44
Walid Mansour,926,3,22.73
Khaled Fouad,139,4,45
Khaled Fouad,403,4,41.67
Khaled Fouad,958,4,38.89
Nour Fahmy,588,5,50
Yara Elmasry,199,6,31.82
Yara Elmasry,892,6,44.44
Yara Elmasry,1031,6,29.17
Yara Fahmy,237,7,38.89
Yara Fahmy,419,7,27.78
Yara Fahmy,913,7,41.67
Habiba Elmasry,452,8,25
Habiba Elmasry,1253,8,36.36
Menna Gamal,31,9,35
Menna Gamal,225,9,41.67
Menna Gamal,1015,9,40
Mohamed Tawfik,385,10,35
Esraa Khalifa,45,11,36.36
Esraa Khalifa,427,11,35
Esraa Khalifa,1045,11,22.73
Nada Samir,902,12,36.36
Nada Samir,1359,12,38.89
Ali Mahmoud,699,13,27.78
Ali Mahmoud,1047,13,27.78
Ali Mahmoud,1129,13,45.45
Sara Tawfik,338,14,40.91
Habiba Gamal,210,15,33.33
Habiba Gamal,1157,15,35
Yara Adel,535,16,38.89
Yara Adel,692,16,27.27
Yara Adel,1112,16,37.5
Nour Shalaby,359,17,44.44
Nour Shalaby,823,17,36.36
Nour Shalaby,990,17,33.33
Salma Ali,765,18,40.91
Ali Khalifa,248,19,40
Ali Khalifa,1002,19,25
Mohamed Adel,74,20,40.91
Mohamed Adel,126,20,44.44
Farah Fouad,31,21,45
Farah Fouad,87,21,40.91
Farah Fouad,699,21,33.33
Mohamed Shalaby,1406,22,40
Fatima Shalaby,424,23,40
Fatima Shalaby,471,23,33.33
Fatima Shalaby,1491,23,40
Mahmoud Khalifa,610,24,40.91
Mahmoud Khalifa,775,24,41.67
Mahmoud Khalifa,1072,24,27.78
Malak Adel,694,25,30
Malak Adel,1175,25,33.33
Malak Adel,1373,25,45.83
Hassan Khalifa,294,26,30
Hassan Khalifa,624,26,40
Youssef Tawfik,246,27,40.91
Youssef Tawfik,925,27,40
Youssef Tawfik,1369,27,33.33
Ibrahim Gamal,565,28,25
Ibrahim Gamal,773,28,33.33
Ibrahim Gamal,1087,28,45.45
Nada Khalifa,18,29,44.44
Nada Khalifa,775,29,41.67
Nada Khalifa,1362,29,50
Mahmoud Khalifa,979,30,38.89
Mahmoud Khalifa,1176,30,40.91
Mahmoud Khalifa,1443,30,33.33
Hana Samir,1191,31,27.27
Mohamed Ali,25,32,35
Hana Ali,842,33,29.17
Aya Kamel,767,34,35
Aya Shalaby,372,35,27.78
Aya Shalaby,527,35,33.33
Nada Adel,172,36,31.82
Nada Adel,1102,36,37.5
Nour Samir,333,37,37.5
Nour Samir,987,37,45
Nour Samir,1147,37,40.91
Ahmed Shalaby,56,38,29.17
Ahmed Shalaby,127,38,27.78
Ahmed Shalaby,228,38,38.89
Nada Khalifa,532,39,38.89
Nada Khalifa,803,39,40
Yara Ali,234,40,27.78
Yara Ali,249,40,31.82
Yara Ali,1488,40,44.44
Sara Khalifa,309,41,25
Sara Khalifa,311,41,45.45
Karim Adel,1370,42,22.73
Hassan Elsayed,156,43,38.89
Hassan Elsayed,1390,43,16.67
Yara Fouad,1238,44,27.27
Mostafa Mahmoud,1171,45,35
Mostafa Mahmoud,1409,45,36.36
Nada Elmasry,480,46,41.67
Habiba Fahmy,479,47,33.33
Habiba Fahmy,1278,47,50
Khaled Samir,343,48,37.5
Khaled Samir,911,48,38.89
Youssef Gamal,156,49,38.89
Youssef Gamal,1157,49,50
Youssef Gamal,1180,49,41.67
Malak Elmasry,346,50,45
Malak Elmasry,744,50,31.82
Malak Elmasry,1424,50,40.91
Mohamed Mansour,288,51,44.44
Mohamed Mansour,1331,51,37.5
Farah Tawfik,207,52,35
Farah Tawfik,964,52,41.67
Sherif Mansour,240,53,38.89
